"name","gov_type","snuc_type","iucn_type","year","category","biome","area_km2","or","or_ci_min","or_ci_max","or_p","remaining_veg_treatment_initial","remaining_veg_treatment_2018","loss_veg_treatment","remaining_veg_control_initial","remaining_veg_control_2018","loss_veg_control"
"ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA","State","Área de Proteção Ambiental","Category V",1992,"SU","Pantanal",1140.12,0.381835081913373,0.381098268460761,0.382573319917364,0,0.920847411153066,0.931828051417323,0.0109806402642568,0.919960120690202,0.858898550209057,-0.0610615704811458
"PARQUE ESTADUAL PAU FURADO","State","Parque","Category II",2007,"SP","Pantanal",1103.76,1.01010567506535,1.0057110695364,1.01451948348303,6.18644484529085e-06,0.967536926223593,0.981080450063037,0.0135435238394433,0.969780986968634,0.970519370525115,0.000738383556481925
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO BURITI","State","Área de Relevante Interesse Ecológico","Category IV",1990,"SU","Pantanal",1437.84,2.09241019168611,2.08370026919824,2.10115652188139,0,0.995577294148439,0.975665415026642,-0.0199118791217971,0.995241887472179,0.984566310164897,-0.0106755773072814
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUANANDI","Federal","Reserva Particular do Patrimônio Natural","Category IV",2012,"SU","Pantanal",20.52,1.50644609327103,1.45470638089894,1.56002603805806,0,0.948464913326397,0.947894738431562,-0.000570174894834796,0.949605264161762,0.976228070886512,0.0266228067247491
"PARQUE NATURAL MUNICIPAL DO ARICANGA WALDEMAR DEVENS","Municipal","Parque","Category II",1997,"SP","Pantanal",10.44,0.85603979096106,0.827649998641094,0.885403401089632,0,0.964999999318804,0.961547620239712,-0.00345237907909213,0.964441195839927,0.966785714739845,0.0023445188999176
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRONZON","State","Reserva Particular do Patrimônio Natural","Category IV",2010,"SU","Pantanal",75.24,0.692232294576673,0.681103190568438,0.703543246148892,0,0.962541741902748,0.967867616546211,0.00532587464346268,0.960972658184727,0.935900368758936,-0.0250722894257907
"PARQUE ESTADUAL DA SERRA DO CABRAL","State","Parque","Category II",2005,"SP","Pantanal",832.32,0.969239697196769,0.965645356090059,0.972847417219361,0,0.963062770954723,0.959987940608321,-0.00307483034640244,0.960713131011667,0.945864406161761,-0.0148487248499056
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VILA AMANDA","Federal","Reserva Particular do Patrimônio Natural","Category IV",2005,"SU","Pantanal",134.28,0.951560596553847,0.922880148181393,0.981132350390468,0.00147192038154853,0.993501005668985,0.992839272475351,-0.000661733193634828,0.994049201723677,0.995711949076588,0.00166274735291072
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANGLOGOLD ASHANTI - CUIABÁ","State","Reserva Particular do Patrimônio Natural","Category IV",2007,"SU","Pantanal",63,0.906759127357663,0.893401932245327,0.920316025039279,0,0.93101259138849,0.983562494207312,0.0525499028188211,0.931443386386942,0.950351793125824,0.0189084067388817
"RPPN BOTUJURU-SERRA DO ITAPETY","State","Reserva Particular do Patrimônio Natural","Category IV",2014,"SU","Pantanal",119.88,0.545266058577553,0.518436219894936,0.573484380965805,0,0.996610381517066,0.997487554349095,0.000877172832029371,0.993397801755423,0.99107398900641,-0.00232381274901239
